Employee Name,Employee Number,State,Zip,DOB,Age,Sex,MaritalDesc,Date of Hire,Skill set,Skill & time taken for transition worked ON,time taken for transition (HRs.),cost,experience
"Brown, Mia",1103024456,MA,1450,11/24/1985,32,Female,Married,10/27/2008,"QA, Test Automation",".Net, Access, Analysis, API",40,80,8
"LaRotonda, William  ",1106026572,MA,1460,4/26/1984,33,Male,Divorced,01-06-2014,"linux/unix, network monitoring, incident response, systems administration",".Net, Access, Analyst, Application",60,120,6
"Steans, Tyrone  ",1302053333,MA,2703,09-01-1986,31,Male,Single,9/29/2014,"Enterprise Solutions Architecture, business inteligence, reports, reporting","Access, Analysis, Analyst, Analytical",80,160,4
"Howard, Estelle",1211050782,MA,2170,9/16/1985,32,Female,Married,2/16/2015,"Configuration Management, Developer, Linux, Management","Analysis, CRM, Development, Development Manager",24,48,5
"Singh, Nan ",1307059817,MA,2330,5/19/1988,29,Female,Single,05-01-2015,"Architecture, CSS, Developer, Development","FICO, AR, AP, Asset Management",16,32,6
"Smith, Leigh Ann",711007713,MA,1844,6/14/1987,30,Female,Married,9/26/2011,Point of Sale System Help Desk Manager,"Cisco, DNS, HTTP, Networking",32,64,3
"LeBlanc, Brandon  R",1102024115,MA,1460,06-10-1984,33,Male,Married,01-05-2016,"Access, Brocade, Consulting, Engineer",".NET , C#, MVC, RESTful web services",48,96,2
"Quinn, Sean",1206043417,MA,2045,11-06-1984,33,Male,Married,2/21/2011,"Access, AML, Application, Business Requirements","C++, Developer, Development, JavaScript",52,104,5
"Boutwell, Bonalyn",1307060188,MA,2468,04-04-1987,30,Female,Married,2/16/2015,"Access, Apache, Applications, Computer","Unix, IAM, Scripting knowledge, OIM",40,80,10
"Foster-Baker, Amy",1201031308,MA,2050,4/16/1979,38,Female,Married,01-05-2009,"Agile, CSS, HTML, HTTP","Java, OSS",60,120,4
"King, Janet",1001495124,MA,1902,9/21/1954,63,Female,Married,07-02-2012,"AP Technical Lead, SAP ERP, SAP ECC, HANA","Consulting, Project, Sales, Sales Engineer",80,160,12
"Zamora, Jennifer",1112030816,MA,2067,8/30/1979,38,Female,Single,04-10-2010,"Contract Independent, Contract W2","QA, Test Automated",24,48,4
"Becker, Renee",1102024056,MA,2026,04-04-1986,31,Female,Single,07-07-2014,"SOX, SARBANES OXLEY, SARBANES, AUDIT","Desktop, Hardware, Network, Software",16,32,7
"Goble, Taisha",905013738,MA,2127,10/23/1971,46,Female,Single,2/16/2015,"java, javascript, aws, amazon web services","Analysis, Analyst, Application, Business Analyst",32,64,9
"Hernandez, Daniff",1410071156,MA,1960,08-07-1986,31,Male,Married,2/16/2015,COBOL,"System Testing, Load/Performance Testing, FIX.FAST, C/C++",48,96,3
"Horton, Jayne",1105025718,MA,2493,2/21/1984,33,Female,Single,3/30/2015,"digital analytics, Google, Adobe, Tableau","Agile, CASE, Consulting, Defect Management",52,104,4
"Johnson, Noelle ",1003018246,MA,2301,11-07-1986,31,Female,Married,01-05-2015,"Access, Analytical, Computer, Consulting","MATLAB, LabVIEW",40,80,7
"Murray, Thomas",1406068403,TX,78230,07-04-1988,29,Male,Divorced,11-10-2014,"Agile, Analysis, Automated, CSS","Angular.JS, React, Node.js, JavaScript",60,120,8
"Pearson, Randall",1102023965,MA,2747,09-05-1984,33,Male,Married,12-01-2014,PCI,selenium testing automation,80,160,3
"Petrowsky, Thelma",1108027853,MA,1886,9/16/1984,33,Female,Married,11-10-2014,"iOS, Android, REST API, SQL","C and C++, Linux, UNIX",24,48,2
"Roby, Lori ",1407068885,MA,1886,10-11-1981,36,Female,Married,2/16/2015,"Access, Analytical, Analytical Skills, BASIC","Development, IT, Network, Project",16,32,5
"Rogers, Ivan",1203032255,MA,1810,8/26/1986,31,Male,Married,3/30/2015,".Net, Access, Analysis, API","Android, Mobile",32,64,7
"Salter, Jason",1111030148,MA,2452,12/17/1987,30,Male,Divorced,01-05-2015,".Net, Access, Analyst, Application","Scheduling, Primavera 6.0, Unifier, MS Project Stadard",48,96,8
"Simard, Kramer",808010278,MA,2110,02-08-1970,47,Male,Married,01-05-2015,"Access, Analysis, Analyst, Analytical","AI, Maya, Browzwear, 3D",52,104,8
"Zhou, Julia",1110029732,MA,2148,2/24/1979,38,Female,Single,3/30/2015,"Analysis, CRM, Development, Development Manager","Java and Java EE, JSF, Spring, Struts",80,160,6
"Foss, Jason",1192991000,MA,1460,07-05-1980,37,Male,Single,4/15/2011,"FICO, AR, AP, Asset Management","Consulting, Database, Lifecycle, Management",24,48,4
"Roup,Simon",1106026933,MA,2481,04-05-1973,44,Male,Single,1/20/2013,"Cisco, DNS, HTTP, Networking",".NET and C#, SQl",16,32,5
"Ruiz, Ricardo",1001175250,MA,1915,01-04-1964,54,Male,Divorced,01-09-2012,".NET , C#, MVC, RESTful web services","Project Management, Operations Analysis, BANKING, (Financial Services",32,64,6
"Monroe, Peter",1011022863,MA,2134,10-05-1986,31,Male,Married,2/15/2012,"C++, Developer, Development, JavaScript","Informatica Admin,Oracle,Sql",48,96,3
"Dougall, Eric",1101023754,MA,1886,07-09-1970,47,Male,Single,01-05-2014,"Unix, IAM, Scripting knowledge, OIM","Analysis, Analyst, Business Analyst, Consulting",52,104,2
"Clayton, Rick",1301052902,MA,2170,09-05-1985,32,Male,Single,09-05-2012,"Java, OSS",".Net, TFS, Web services, WCF",40,80,5
"Galia, Lisa",1501072093,CT,6040,07-06-1968,49,Female,Single,05-01-2010,"Consulting, Project, Sales, Sales Engineer","HTML, JavaScript, CSS, AJAX",60,120,10
"Lindsay, Leonara ",602000312,CT,6070,10-05-1988,29,Female,Single,1/21/2011,"QA, Test Automated",".Net, Algorithms, Developer, JavaScript",80,160,4
"Soto, Julia ",1203032263,MA,2360,03-12-1973,44,Female,Married,06-10-2011,"Desktop, Hardware, Network, Software","Analyst, Business Analyst, Business Requirements, Consulting",24,48,12
"Bacong, Alejandro ",1212052023,MA,1886,01-07-1988,30,Male,Divorced,01-05-2015,"Analysis, Analyst, Application, Business Analyst",".Net, Algorithms, Developer, JavaScript",16,32,4
"Cisco, Anthony",1102024173,MA,2135,11/24/1989,28,Male,Married,3/30/2015,"System Testing, Load/Performance Testing, FIX.FAST, C/C++","Angular JS, Java/J2EE, Spring , Hibernate",32,64,7
"Dolan, Linda",1101023540,MA,2119,7/18/1988,29,Female,Married,01-05-2015,"Agile, CASE, Consulting, Defect Management","Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences",48,96,9
"Gonzalez, Maria",1988299991,MA,2472,4/16/1981,36,Female,Separated,01-05-2015,"MATLAB, LabVIEW","Node.js, JavaScript",52,104,3
"Merlos, Carlos",1012023013,MA,2138,6/18/1987,30,Male,Single,3/30/2015,"Angular.JS, React, Node.js, JavaScript","SAP APO, MS Excel, BW reporting, Pharma or Biotech",52,104,4
"Morway, Tanya",1001956578,MA,2048,04-04-1979,38,Female,Married,2/16/2015,selenium testing automation,"Linux, OOD, OOP, Programming",40,80,7
"Shepard, Anita ",906014183,MA,1773,4/14/1981,36,Female,Married,9/30/2014,"C and C++, Linux, UNIX","Project coordinator,procurement,budget",60,120,8
"Tredinnick, Neville ",1104025466,MA,1420,05-05-1988,29,Male,Married,01-05-2015,"Development, IT, Network, Project","Oracle R12 E-Business, General Ledger, Asset Management, Projects",80,160,3
"Turpin, Jumil",1411071506,MA,2343,3/31/1969,48,Male,Married,3/30/2015,"Android, Mobile","Scientific Software, Business Analyst, Drug Development, biotech",24,48,2
"Ait Sidi, Karthikeyan   ",1307060199,MA,2148,05-05-1975,42,Male,Married,3/30/2015,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard","Application, C++, Development, Engineer",16,32,5
"Carr, Claudia  N",1010022337,MA,1886,06-06-1986,31,Female,Single,6/30/2016,"AI, Maya, Browzwear, 3D","Developer, Hardware, Java, Linux",32,64,7
"Favis, Donald  ",1412071562,CT,6033,7/30/1964,53,Male,Single,2/17/2014,"Java and Java EE, JSF, Spring, Struts","C#, SQL, Stored Procedures, .NET",48,96,8
"Roehrich, Bianca",1111030266,MA,2703,5/27/1973,44,Female,Single,01-05-2015,"Consulting, Database, Lifecycle, Management","Algorithms, C++, Developer, Development",52,104,8
"Daniele, Ann  ",1411071312,CT,6033,1/18/1952,66,Female,Married,11-10-2014,".NET and C#, SQl","business development, sales, staffing",80,160,6
"Lajiri,  Jyoti",1108028108,MA,2169,4/23/1986,31,Male,Married,11-10-2014,"Project Management, Operations Analysis, BANKING, (Financial Services","Analyst, Applications, Computer, Database",24,48,4
